fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
47167,185016,106.0,0.0,37.0,14.0,1.0,5.0,7.0,326.0,15.0,5.0,10.0,9.0,188.0,52.0,144.0,20.0,1429.0,15.0,57.0,67.0,0.0,318.0,4.0,13.0,0.0,0.0,0.0,65.0,28.0
47169,34554,14.0,0.0,6.0,4.0,0.0,0.0,0.0,14.0,14.0,2.0,15.0,15.0,20.0,3.0,7.0,3.0,297.0,0.0,3.0,1.0,0.0,51.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0
47171,53115,30.0,0.0,28.0,15.0,0.0,0.0,1.0,54.0,3.0,2.0,13.0,0.0,33.0,1.0,56.0,9.0,576.0,0.0,5.0,39.0,1.0,120.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0
47173,59307,16.0,0.0,21.0,12.0,1.0,1.0,3.0,38.0,1.0,2.0,6.0,3.0,30.0,19.0,80.0,26.0,933.0,0.0,8.0,50.0,0.0,85.0,5.0,0.0,0.0,0.0,0.0,16.0,5.0
47175,17376,2.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,37.0,0.0,39.0,2.0,164.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
47177,123072,81.0,0.0,34.0,25.0,3.0,1.0,11.0,189.0,5.0,3.0,16.0,0.0,63.0,10.0,217.0,30.0,1428.0,2.0,24.0,95.0,0.0,215.0,3.0,0.0,0.0,0.0,0.0,32.0,15.0
47179,387996,230.0,2.0,116.0,113.0,5.0,8.0,31.0,977.0,18.0,18.0,99.0,4.0,207.0,32.0,437.0,30.0,4262.0,0.0,81.0,16.0,1.0,702.0,7.0,2.0,0.0,0.0,0.0,89.0,46.0
47181,49536,20.0,0.0,15.0,9.0,2.0,2.0,0.0,17.0,2.0,3.0,28.0,0.0,16.0,1.0,74.0,6.0,310.0,0.0,2.0,3.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
47183,99162,45.0,0.0,29.0,22.0,1.0,4.0,4.0,170.0,5.0,6.0,29.0,5.0,121.0,9.0,94.0,6.0,1172.0,0.0,9.0,10.0,0.0,154.0,6.0,0.0,0.0,0.0,0.0,20.0,3.0
47185,81852,24.0,0.0,10.0,20.0,0.0,2.0,2.0,75.0,2.0,0.0,10.0,1.0,79.0,7.0,118.0,19.0,386.0,0.0,11.0,2.0,0.0,79.0,2.0,0.0,0.0,0.0,0.0,20.0,5.0
